country,Year,coffee_domestic_consumption_kg,coffee_importers_consumption_kg,coffee_total_consumption_kg,coffee_imports_kg,coffee_exports_kg,coffee_production_kg,population,coffee_per_capita_kg_per_person,gdp_per_person_employed_constppp,iso3_x,iso3_y,iso3,Share of total deaths in both sexes in those aged all ages that are from digestive diseases,Share of total deaths in both sexes in those aged all ages that are from infectious and parasitic diseases,Share of total deaths in both sexes in those aged all ages that are from respiratory diseases,"Share of total deaths in both sexes in those aged all ages that are from diabetes mellitus, blood and endocrine disorders",Share of total deaths in both sexes in those aged all ages that are from intentional injuries,Share of total deaths in both sexes in those aged all ages that are from perinatal conditions,Share of total deaths in both sexes in those aged all ages that are from respiratory infections,Share of total deaths in both sexes in those aged all ages that are from neuropsychiatric conditions,Share of total deaths in both sexes in those aged all ages that are from malignant neoplasms,Share of total deaths in both sexes in those aged all ages that are from cardiovascular diseases,Share of total deaths in both sexes in those aged all ages that are from ill-defined injuries,Share of total deaths in both sexes in those aged all ages that are from musculoskeletal diseases,Share of total deaths in both sexes in those aged all ages that are from congenital anomalies,Share of total deaths in both sexes in those aged all ages that are from maternal conditions,Share of total deaths in both sexes in those aged all ages that are from nutritional deficiencies,Share of total deaths in both sexes in those aged all ages that are from other neoplasms,Share of total deaths in both sexes in those aged all ages that are from skin diseases,Share of total deaths in both sexes in those aged all ages that are from unintentional injuries,Share of total deaths in both sexes in those aged all ages that are from ill-defined diseases,Share of total deaths in both sexes in those aged all ages that are from genitourinary diseases,units_note
   Austria,1990,,80400000.0,80400000.0,112800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1991,,78120000.0,78120000.0,123480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1992,,72720000.0,72720000.0,132360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1993,,80100000.0,80100000.0,110160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1994,,65160000.0,65160000.0,85020000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1995,,60720000.0,60720000.0,73860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1996,,64560000.0,64560000.0,72600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1997,,65220000.0,65220000.0,77640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1998,,66300000.0,66300000.0,77580000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,1999,,67380000.0,67380000.0,90000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2000,,52500000.0,52500000.0,75420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2001,,60780000.0,60780000.0,85920000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2002,,55560000.0,55560000.0,86820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2003,,43200000.0,43200000.0,80160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2004,,59760000.0,59760000.0,92280000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2005,,46320000.0,46320000.0,94620000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2006,,36720000.0,36720000.0,96060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2007,,50820000.0,50820000.0,118080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
