Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,12873.5697247878,12860.513368789,12864.5667033688,13030.5525461584,13569.7731419082,13526.9396374728,10611.84029172,10863.2517874778,10784.0249269723,
Angola,AGO,28665.4476074031,27078.6580594013,26194.3407776738,25039.8417724709,24065.0208647087,22077.5608687335,20911.1649951745,20737.8081225305,20205.4718059622,20380.9173319278
Albania,ALB,35341.3052808585,34702.0717800893,34539.1859998914,34502.650584685,34333.9927495494,34840.724259525,37448.4227294642,38073.1688543111,39921.3792455211,41779.25160442
United Arab Emirates,ARE,110228.656344926,109939.280824966,107709.740608957,106890.599741932,106486.31957749,104590.55199469,108126.054364633,109902.764920291,108156.446265956,107503.500508308
Argentina,ARG,69722.7053276355,68102.8907306326,69702.6851895696,66889.2867265136,64545.6690918665,63088.8422580423,62199.2099349718,62416.5815974919,59585.9258245395,59087.9897702683
Armenia,ARM,32449.1308572475,32408.9146526656,35095.1395456381,37635.9026327937,39420.3930711592,36899.5814189147,37305.9496348586,41420.382813411,44812.6637153155,46539.4678852902
Australia,AUS,112330.181531181,113420.627221093,113385.24715523,113636.799610303,113575.689077041,115044.553351073,113949.871514187,114051.350259513,114652.221028201,114266.93526742
Austria,AUT,125528.144313343,126264.898449052,127693.45136021,128853.114267162,130057.013356892,123194.091206578,129644.817221157,132529.570677137,130342.728605196,128886.525966365
Azerbaijan,AZE,44736.2429007156,42334.6643457947,41818.211805373,41719.5305771609,42436.7472622451,40037.0853084327,44799.8754897277,45144.2954379954,45771.308251487,47519.4410128037
Burundi,BDI,2213.18697015996,2175.5956664066,2138.27312823719,2099.62138445228,2058.1562618181,2022.37146335454,1999.13154786218,1957.75694381784,1939.72207089533,1939.71520646709
Belgium,BEL,141912.558464579,142399.068392291,142316.594648262,141641.947151766,142738.479435885,136728.479852615,143705.694905106,145858.184152955,146265.207137042,146382.27689616
Benin,BEN,7225.48786818517,7198.70145755925,7328.75510598431,7524.79578222756,7742.91718776449,7853.61844971084,8058.24598292819,8320.9122730772,8606.28107301438,8974.80630516418
Burkina Faso,BFA,6367.68479612494,6785.45516445784,7252.34551031889,7794.75086929913,8336.47379662973,8696.35876831692,9340.84417934237,9631.16002902667,9603.84716280916,9792.08991798034
Bangladesh,BGD,14411.3748460929,15254.5907780982,15398.4454288001,16150.5698026795,17050.8453071746,17521.21818587,18112.0203623171,18760.0240013094,19505.0488984303,19976.5906900261
Bulgaria,BGR,57905.1391731548,60495.3395783969,59793.8143803773,61732.0171929502,62978.7559311305,63098.4655378277,69142.1982485989,69956.9108348286,71297.8722924712,73322.5363148879
Bahrain,BHR,96581.2791599594,95207.2941174683,93955.4241513126,96116.7193388621,100456.32918312,98292.8942111847,99917.8036765227,102403.91389536,101877.666726469,103996.479359634
Bahamas,BHS,65323.9047967017,64357.2284042211,63598.5412146537,64473.2622565555,62838.7390832151,54598.0373012101,61600.502702754,64672.8321607513,65402.2098923666,67010.2952771953
Bosnia and Herz.,BIH,45615.7549427297,46353.086442113,45618.7196703089,46869.5138061305,47501.3842101342,47235.6374801631,50878.9203887851,52224.6599067065,51683.2286131451,53407.4598063515
